time_s,robot_id,v_l,v_r,note
3.6160000000000028,Pioneer 3-DX(3),4.0,4.0,stub_running
3.648000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.680000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.712000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.744000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.776000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.808000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.840000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.872000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.904000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.936000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
3.968000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.000000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.032000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.064000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.096000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.128000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.160000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.192000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.224000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.256000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.288000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.320000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.352000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.384000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.416000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.448000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.480000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.512000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.544000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.576000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.608000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
4.640000000000003,Pioneer 3-DX(3),4.0,4.0,stub_running
time_s,robot_id,v_l,v_r,note
0.0,Pioneer 3-DX,4.0,4.0,stub_running
0.032,Pioneer 3-DX,4.0,4.0,stub_running
0.064,Pioneer 3-DX,4.0,4.0,stub_running
0.096,Pioneer 3-DX,4.0,4.0,stub_running
0.128,Pioneer 3-DX,4.0,4.0,stub_running
0.16,Pioneer 3-DX,4.0,4.0,stub_running
0.192,Pioneer 3-DX,4.0,4.0,stub_running
0.224,Pioneer 3-DX,4.0,4.0,stub_running
0.256,Pioneer 3-DX,4.0,4.0,stub_running
0.28800000000000003,Pioneer 3-DX,4.0,4.0,stub_running
0.32000000000000006,Pioneer 3-DX,4.0,4.0,stub_running
0.3520000000000001,Pioneer 3-DX,4.0,4.0,stub_running
0.3840000000000001,Pioneer 3-DX,4.0,4.0,stub_running
0.41600000000000015,Pioneer 3-DX,4.0,4.0,stub_running
0.4480000000000002,Pioneer 3-DX,4.0,4.0,stub_running
0.4800000000000002,Pioneer 3-DX,4.0,4.0,stub_running
0.5120000000000002,Pioneer 3-DX,4.0,4.0,stub_running
0.5440000000000003,Pioneer 3-DX,4.0,4.0,stub_running
0.5760000000000003,Pioneer 3-DX,4.0,4.0,stub_running
0.6080000000000003,Pioneer 3-DX,4.0,4.0,stub_running
0.6400000000000003,Pioneer 3-DX,4.0,4.0,stub_running
0.6720000000000004,Pioneer 3-DX,4.0,4.0,stub_running
0.7040000000000004,Pioneer 3-DX,4.0,4.0,stub_running
0.7360000000000004,Pioneer 3-DX,4.0,4.0,stub_running
0.7680000000000005,Pioneer 3-DX,4.0,4.0,stub_running
0.8000000000000005,Pioneer 3-DX,4.0,4.0,stub_running
0.8320000000000005,Pioneer 3-DX,4.0,4.0,stub_running
0.8640000000000005,Pioneer 3-DX,4.0,4.0,stub_running
0.8960000000000006,Pioneer 3-DX,4.0,4.0,stub_running
0.9280000000000006,Pioneer 3-DX,4.0,4.0,stub_running
0.9600000000000006,Pioneer 3-DX,4.0,4.0,stub_running
0.9920000000000007,Pioneer 3-DX,4.0,4.0,stub_running
1.0240000000000007,Pioneer 3-DX,4.0,4.0,stub_running
1.0560000000000007,Pioneer 3-DX,4.0,4.0,stub_running
1.0880000000000007,Pioneer 3-DX,4.0,4.0,stub_running
1.1200000000000008,Pioneer 3-DX,4.0,4.0,stub_running
1.1520000000000008,Pioneer 3-DX,4.0,4.0,stub_running
1.1840000000000008,Pioneer 3-DX,4.0,4.0,stub_running
1.2160000000000009,Pioneer 3-DX,4.0,4.0,stub_running
1.2480000000000009,Pioneer 3-DX,4.0,4.0,stub_running
1.280000000000001,Pioneer 3-DX,4.0,4.0,stub_running
1.312000000000001,Pioneer 3-DX,4.0,4.0,stub_running
1.344000000000001,Pioneer 3-DX,4.0,4.0,stub_running
1.376000000000001,Pioneer 3-DX,4.0,4.0,stub_running
1.408000000000001,Pioneer 3-DX,4.0,4.0,stub_running
1.440000000000001,Pioneer 3-DX,4.0,4.0,stub_running
1.472000000000001,Pioneer 3-DX,4.0,4.0,stub_running
1.5040000000000011,Pioneer 3-DX,4.0,4.0,stub_running
1.5360000000000011,Pioneer 3-DX,4.0,4.0,stub_running
1.5680000000000012,Pioneer 3-DX,4.0,4.0,stub_running
1.6000000000000012,Pioneer 3-DX,4.0,4.0,stub_running
1.6320000000000012,Pioneer 3-DX,4.0,4.0,stub_running
1.6640000000000013,Pioneer 3-DX,4.0,4.0,stub_running
1.6960000000000013,Pioneer 3-DX,4.0,4.0,stub_running
1.7280000000000013,Pioneer 3-DX,4.0,4.0,stub_running
1.7600000000000013,Pioneer 3-DX,4.0,4.0,stub_running
1.7920000000000014,Pioneer 3-DX,4.0,4.0,stub_running
1.8240000000000014,Pioneer 3-DX,4.0,4.0,stub_running
1.8560000000000014,Pioneer 3-DX,4.0,4.0,stub_running
1.8880000000000015,Pioneer 3-DX,4.0,4.0,stub_running
1.9200000000000015,Pioneer 3-DX,4.0,4.0,stub_running
1.9520000000000015,Pioneer 3-DX,4.0,4.0,stub_running
1.9840000000000015,Pioneer 3-DX,4.0,4.0,stub_running
2.0160000000000013,Pioneer 3-DX,4.0,4.0,stub_running
2.0480000000000014,Pioneer 3-DX,4.0,4.0,stub_running
2.0800000000000014,Pioneer 3-DX,4.0,4.0,stub_running
2.1120000000000014,Pioneer 3-DX,4.0,4.0,stub_running
2.1440000000000015,Pioneer 3-DX,4.0,4.0,stub_running
2.1760000000000015,Pioneer 3-DX,4.0,4.0,stub_running
2.2080000000000015,Pioneer 3-DX,4.0,4.0,stub_running
2.2400000000000015,Pioneer 3-DX,4.0,4.0,stub_running
2.2720000000000016,Pioneer 3-DX,4.0,4.0,stub_running
2.3040000000000016,Pioneer 3-DX,4.0,4.0,stub_running
2.3360000000000016,Pioneer 3-DX,4.0,4.0,stub_running
2.3680000000000017,Pioneer 3-DX,4.0,4.0,stub_running
2.4000000000000017,Pioneer 3-DX,4.0,4.0,stub_running
2.4320000000000017,Pioneer 3-DX,4.0,4.0,stub_running
2.4640000000000017,Pioneer 3-DX,4.0,4.0,stub_running
2.4960000000000018,Pioneer 3-DX,4.0,4.0,stub_running
2.528000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.560000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.592000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.624000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.656000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.688000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.720000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.752000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.784000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.816000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.848000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.880000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.912000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.944000000000002,Pioneer 3-DX,4.0,4.0,stub_running
2.976000000000002,Pioneer 3-DX,4.0,4.0,stub_running
3.0080000000000022,Pioneer 3-DX,4.0,4.0,stub_running
3.0400000000000023,Pioneer 3-DX,4.0,4.0,stub_running
3.0720000000000023,Pioneer 3-DX,4.0,4.0,stub_running
3.1040000000000023,Pioneer 3-DX,4.0,4.0,stub_running
3.1360000000000023,Pioneer 3-DX,4.0,4.0,stub_running
3.1680000000000024,Pioneer 3-DX,4.0,4.0,stub_running
3.2000000000000024,Pioneer 3-DX,4.0,4.0,stub_running
3.2320000000000024,Pioneer 3-DX,4.0,4.0,stub_running
3.2640000000000025,Pioneer 3-DX,4.0,4.0,stub_running
3.2960000000000025,Pioneer 3-DX,4.0,4.0,stub_running
3.3280000000000025,Pioneer 3-DX,4.0,4.0,stub_running
3.3600000000000025,Pioneer 3-DX,4.0,4.0,stub_running
3.3920000000000026,Pioneer 3-DX,4.0,4.0,stub_running
3.4240000000000026,Pioneer 3-DX,4.0,4.0,stub_running
3.4560000000000026,Pioneer 3-DX,4.0,4.0,stub_running
3.4880000000000027,Pioneer 3-DX,4.0,4.0,stub_running
3.5200000000000027,Pioneer 3-DX,4.0,4.0,stub_running
3.5520000000000027,Pioneer 3-DX,4.0,4.0,stub_running
3.5840000000000027,Pioneer 3-DX,4.0,4.0,stub_running
3.6160000000000028,Pioneer 3-DX,4.0,4.0,stub_running
3.648000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.680000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.712000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.744000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.776000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.808000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.840000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.872000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.904000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.936000000000003,Pioneer 3-DX,4.0,4.0,stub_running
3.968000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.000000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.032000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.064000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.096000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.128000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.160000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.192000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.224000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.256000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.288000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.320000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.352000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.384000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.416000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.448000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.480000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.512000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.544000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.576000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.608000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.640000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.672000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.704000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.736000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.768000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.800000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.832000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.864000000000003,Pioneer 3-DX,4.0,4.0,stub_running
4.8960000000000035,Pioneer 3-DX,4.0,4.0,stub_running
4.672000000000003,Pioneer 3-DX(1),4.0,4.0,stub_running
4.704000000000003,Pioneer 3-DX(1),4.0,4.0,stub_running
4.736000000000003,Pioneer 3-DX(1),4.0,4.0,stub_running
4.768000000000003,Pioneer 3-DX(1),4.0,4.0,stub_running
4.800000000000003,Pioneer 3-DX(1),4.0,4.0,stub_running
4.832000000000003,Pioneer 3-DX(1),4.0,4.0,stub_running
4.864000000000003,Pioneer 3-DX(1),4.0,4.0,stub_running
4.8960000000000035,Pioneer 3-DX(1),4.0,4.0,stub_running
4.9280000000000035,Pioneer 3-DX(1),4.0,4.0,stub_running
4.9600000000000035,Pioneer 3-DX(1),4.0,4.0,stub_running
4.9920000000000035,Pioneer 3-DX(1),4.0,4.0,stub_running
5.024000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.056000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.088000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.120000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.152000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.184000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.216000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.248000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.280000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.312000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.344000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.376000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.408000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.440000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.472000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.504000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.536000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.568000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.600000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.632000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.664000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.696000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.728000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.760000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.792000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.824000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.856000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.888000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.920000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.952000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
5.984000000000004,Pioneer 3-DX(1),4.0,4.0,stub_running
6.0160000000000045,Pioneer 3-DX(1),4.0,4.0,stub_running
6.0480000000000045,Pioneer 3-DX(1),4.0,4.0,stub_running
6.0800000000000045,Pioneer 3-DX(1),4.0,4.0,stub_running
6.1120000000000045,Pioneer 3-DX(1),4.0,4.0,stub_running
6.144000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.176000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.208000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.240000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.272000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.304000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.336000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.368000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.400000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.432000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.464000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.496000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.528000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.560000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.592000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.624000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.656000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.688000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.720000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.752000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.784000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.816000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.848000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.880000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.912000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.944000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
6.976000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
7.008000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
7.040000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
7.072000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
7.104000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
7.1360000000000054,Pioneer 3-DX(1),4.0,4.0,stub_running
7.1680000000000055,Pioneer 3-DX(1),4.0,4.0,stub_running
7.2000000000000055,Pioneer 3-DX(1),4.0,4.0,stub_running
7.2320000000000055,Pioneer 3-DX(1),4.0,4.0,stub_running
7.264000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.296000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.328000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.360000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.392000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.424000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.456000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.488000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.520000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.552000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.584000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.616000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.648000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.680000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.712000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.744000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.776000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.808000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.840000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.872000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.904000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.936000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
7.968000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.000000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
8.032000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
8.064000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
8.096000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
8.128000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
8.160000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
8.192000000000005,Pioneer 3-DX(1),4.0,4.0,stub_running
8.224000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.256000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.288000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.320000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.352000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.384000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.416000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.448000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.480000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.512000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.544000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.576000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.608000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.640000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.672000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.704000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.736000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.768000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.800000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.832000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.864000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.896000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.928000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.960000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
8.992000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.024000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.056000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.088000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.120000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.152000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.184000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.216000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.248000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.280000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
9.312000000000006,Pioneer 3-DX(1),4.0,4.0,stub_running
4.672000000000003,Pioneer 3-DX(2),4.0,4.0,stub_running
4.704000000000003,Pioneer 3-DX(2),4.0,4.0,stub_running
4.736000000000003,Pioneer 3-DX(2),4.0,4.0,stub_running
4.768000000000003,Pioneer 3-DX(2),4.0,4.0,stub_running
4.800000000000003,Pioneer 3-DX(2),4.0,4.0,stub_running
4.832000000000003,Pioneer 3-DX(2),4.0,4.0,stub_running
4.864000000000003,Pioneer 3-DX(2),4.0,4.0,stub_running
4.8960000000000035,Pioneer 3-DX(2),4.0,4.0,stub_running
4.9280000000000035,Pioneer 3-DX(2),4.0,4.0,stub_running
4.9600000000000035,Pioneer 3-DX(2),4.0,4.0,stub_running
4.9920000000000035,Pioneer 3-DX(2),4.0,4.0,stub_running
5.024000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.056000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.088000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.120000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.152000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.184000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.216000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.248000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.280000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.312000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.344000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.376000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.408000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.440000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.472000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.504000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.536000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.568000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.600000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.632000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.664000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.696000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.728000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.760000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.792000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.824000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.856000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.888000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.920000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.952000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
5.984000000000004,Pioneer 3-DX(2),4.0,4.0,stub_running
6.0160000000000045,Pioneer 3-DX(2),4.0,4.0,stub_running
6.0480000000000045,Pioneer 3-DX(2),4.0,4.0,stub_running
6.0800000000000045,Pioneer 3-DX(2),4.0,4.0,stub_running
6.1120000000000045,Pioneer 3-DX(2),4.0,4.0,stub_running
6.144000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.176000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.208000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.240000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.272000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.304000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.336000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.368000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.400000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.432000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.464000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.496000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.528000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.560000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.592000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.624000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.656000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.688000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.720000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.752000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.784000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.816000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.848000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.880000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.912000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.944000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
6.976000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
7.008000000000005,Pioneer 3-DX(2),4.0,4.0,stub_running
